page1,page2,page3,page4,page5,page6,page7,page8
travel,,,,,,,
tech,tech,tech,tech,,,,
news,,,,,,,
living,living,living,,,,,
frontpage,frontpage,mich,mich,mich,mich,mich,mich
frontpage,,,,,,,
weather,weather,weather,weather,weather,,,
frontpage,frontpage,frontpage,frontpage,frontpage,frontpage,frontpage,frontpage
on_air,,,,,,,
frontpage,sports,,,,,,
frontpage,travel,,,,,,
living,,,,,,,
on_air,on_air,,,,,,
frontpage,news,news,living,,,,
tech,,,,,,,
bbs,bbs,bbs,bbs,bbs,bbs,bbs,bbs
news,news,news,tech,tech,msn,living,living
frontpage,news,,,,,,
news,,,,,,,
opinion,,,,,,,
travel,,,,,,,
on_air,,,,,,,
living,living,living,living,on_air,,,
on_air,,,,,,,
on_air,on_air,,,,,,
news,news,news,news,news,news,news,news
bbs,bbs,bbs,,,,,
frontpage,bbs,frontpage,frontpage,frontpage,frontpage,frontpage,bbs
frontpage,mich,mich,frontpage,,,,
tech,,,,,,,
frontpage,,,,,,,
on_air,on_air,tech,,,,,
frontpage,frontpage,frontpage,frontpage,frontpage,,,
frontpage,news,,,,,,
on_air,mich,mich,on_air,mich,on_air,on_air,on_air
on_air,on_air,on_air,travel,,,,
news,news,,,,,,
news,news,news,news,,,,
business,,,,,,,
news,travel,living,travel,,,,
news,,,,,,,
on_air,on_air,on_air,on_air,on_air,on_air,frontpage,
sports,,,,,,,
bbs,bbs,bbs,,,,,
frontpage,,,,,,,
frontpage,bbs,bbs,,,,,
frontpage,,,,,,,
on_air,,,,,,,
frontpage,on_air,on_air,on_air,,,,
living,living,living,living,living,news,news,news
frontpage,opinion,,,,,,
sports,,,,,,,
frontpage,,,,,,,
weather,weather,weather,sports,frontpage,weather,weather,news
frontpage,tech,frontpage,tech,tech,tech,,
tech,,,,,,,
news,,,,,,,
frontpage,news,,,,,,
bbs,bbs,,,,,,
news,news,news,news,news,news,,
tech,,,,,,,
frontpage,sports,sports,sports,,,,
news,news,news,news,news,news,,
news,,,,,,,
frontpage,frontpage,frontpage,frontpage,sports,frontpage,business,frontpage
frontpage,on_air,,,,,,
bbs,news,sports,tech,,,,
health,news,news,,,,,
frontpage,news,tech,news,news,,,
frontpage,,,,,,,
news,,,,,,,
frontpage,,,,,,,
tech,tech,news,news,news,news,news,tech
tech,tech,tech,tech,,,,
weather,weather,weather,weather,weather,weather,weather,
frontpage,news,news,mich,local,mich,local,local
frontpage,sports,,,,,,
frontpage,on_air,on_air,mich,mich,mich,mich,mich
frontpage,mich,local,mich,local,mich,local,
bbs,,,,,,,
sports,,,,,,,
frontpage,on_air,on_air,living,living,,,
bbs,bbs,bbs,bbs,bbs,bbs,bbs,bbs
news,news,news,news,news,news,news,tech
news,frontpage,frontpage,news,frontpage,news,frontpage,news
frontpage,mich,mich,frontpage,local,sports,news,
sports,sports,sports,,,,,
travel,,,,,,,
living,,,,,,,
frontpage,,,,,,,
frontpage,mich,local,mich,local,local,,
frontpage,frontpage,frontpage,,,,,
sports,frontpage,frontpage,,,,,
summary,summary,summary,summary,summary,,,
tech,,,,,,,
news,news,,,,,,
frontpage,frontpage,frontpage,frontpage,frontpage,frontpage,frontpage,frontpage
on_air,on_air,on_air,,,,,
on_air,,,,,,,
weather,weather,local,mich,local,mich,,
health,sports,sports,news,on_air,mich,mich,mich
sports,,,,,,,
weather,health,news,weather,opinion,opinion,,
tech,,,,,,,
news,,,,,,,
news,on_air,news,on_air,on_air,on_air,,
bbs,bbs,,,,,,
frontpage,sports,,,,,,
frontpage,frontpage,msn,msn,on_air,on_air,on_air,msn
news,news,,,,,,
frontpage,on_air,living,living,living,,,
living,living,,,,,,
frontpage,,,,,,,
news,,,,,,,
frontpage,,,,,,,
frontpage,,,,,,,
news,news,,,,,,
frontpage,tech,frontpage,living,frontpage,,,
mich,tech,mich,mich,tech,tech,,
news,tech,news,tech,news,news,,
frontpage,news,bbs,bbs,frontpage,on_air,msn,news
frontpage,frontpage,frontpage,frontpage,,,,
tech,,,,,,,
frontpage,,,,,,,
living,living,living,living,living,living,,
on_air,on_air,mich,mich,mich,mich,mich,mich
frontpage,mich,mich,frontpage,mich,mich,frontpage,
tech,,,,,,,
business,living,,,,,,
bbs,bbs,,,,,,
frontpage,bbs,bbs,weather,frontpage,bbs,bbs,bbs
frontpage,bbs,,,,,,
sports,,,,,,,
bbs,bbs,,,,,,
frontpage,,,,,,,
news,,,,,,,
summary,summary,frontpage,summary,summary,bbs,,
frontpage,news,bbs,bbs,news,,,
news,news,news,news,local,news,news,news
mich,local,local,mich,,,,
news,,,,,,,
on_air,,,,,,,
frontpage,tech,,,,,,
bbs,bbs,,,,,,
sports,,,,,,,
frontpage,news,news,mich,frontpage,frontpage,mich,mich
frontpage,frontpage,msn,news,msn,news,news,news
news,,,,,,,
news,,,,,,,
frontpage,news,news,news,frontpage,bbs,bbs,bbs
frontpage,frontpage,frontpage,,,,,
frontpage,business,msn,business,business,business,,
mich,on_air,on_air,on_air,,,,
sports,frontpage,opinion,opinion,opinion,opinion,opinion,opinion
frontpage,news,news,,,,,
news,,,,,,,
mich,local,on_air,on_air,on_air,on_air,,
business,,,,,,,
local,mich,news,local,local,mich,mich,local
frontpage,news,on_air,on_air,,,,
frontpage,news,news,news,,,,
sports,,,,,,,
frontpage,,,,,,,
frontpage,living,living,frontpage,frontpage,frontpage,living,living
tech,tech,,,,,,
tech,travel,tech,local,local,local,,
news,,,,,,,
on_air,,,,,,,
on_air,on_air,on_air,on_air,on_air,on_air,on_air,on_air
news,news,news,news,,,,
frontpage,,,,,,,
on_air,on_air,on_air,travel,,,,
business,,,,,,,
sports,,,,,,,
frontpage,weather,weather,weather,weather,bbs,,
frontpage,news,news,news,local,news,,
frontpage,frontpage,frontpage,bbs,frontpage,frontpage,bbs,frontpage
frontpage,news,news,mich,local,mich,local,local
news,,,,,,,
news,,,,,,,
sports,,,,,,,
tech,tech,tech,,,,,
bbs,bbs,,,,,,
bbs,on_air,,,,,,
on_air,mich,mich,mich,mich,mich,mich,mich
frontpage,frontpage,on_air,on_air,,,,
frontpage,frontpage,living,,,,,
frontpage,business,sports,sports,,,,
frontpage,local,frontpage,frontpage,tech,frontpage,,
news,news,news,,,,,
frontpage,frontpage,frontpage,on_air,on_air,bbs,frontpage,news
frontpage,,,,,,,
on_air,,,,,,,
frontpage,bbs,bbs,,,,,
frontpage,sports,,,,,,
frontpage,news,bbs,news,,,,
frontpage,,,,,,,
frontpage,news,news,,,,,
bbs,bbs,,,,,,
tech,,,,,,,
news,,,,,,,
frontpage,mich,mich,mich,frontpage,mich,local,local
frontpage,frontpage,frontpage,,,,,
sports,sports,,,,,,
tech,tech,tech,tech,tech,tech,,
weather,business,msn,msn,msn,msn,msn,business
news,news,news,news,news,,,
frontpage,mich,mich,frontpage,weather,weather,weather,news
tech,tech,tech,on_air,,,,
bbs,bbs,bbs,bbs,bbs,bbs,bbs,bbs
on_air,mich,mich,mich,on_air,,,
news,news,,,,,,
bbs,,,,,,,
frontpage,msn,msn,msn,msn,frontpage,frontpage,frontpage
frontpage,on_air,on_air,living,living,living,living,news
living,on_air,news,news,,,,
news,,,,,,,
bbs,bbs,bbs,bbs,bbs,bbs,,
tech,tech,living,tech,on_air,tech,frontpage,
news,tech,tech,,,,,
news,news,news,news,news,news,news,news
frontpage,news,tech,tech,tech,,,
tech,,,,,,,
living,living,,,,,,
news,,,,,,,
news,news,,,,,,
tech,,,,,,,
news,news,,,,,,
frontpage,,,,,,,
news,tech,,,,,,
frontpage,sports,bbs,bbs,bbs,frontpage,business,
frontpage,mich,mich,frontpage,,,,
news,,,,,,,
frontpage,business,travel,local,opinion,opinion,bbs,bbs
news,news,news,,,,,
frontpage,living,tech,frontpage,frontpage,,,
news,news,news,news,,,,
bbs,,,,,,,
frontpage,weather,weather,weather,weather,weather,weather,news
frontpage,weather,weather,weather,weather,weather,,
on_air,,,,,,,
news,tech,on_air,on_air,,,,
frontpage,,,,,,,
news,news,,,,,,
weather,weather,weather,weather,weather,weather,weather,
on_air,on_air,on_air,,,,,
frontpage,sports,sports,sports,sports,frontpage,weather,weather
news,news,,,,,,
news,,,,,,,
on_air,news,msn,msn,,,,
bbs,bbs,bbs,bbs,,,,
frontpage,,,,,,,
mich,mich,mich,mich,mich,mich,mich,mich
on_air,mich,mich,mich,mich,on_air,,
health,health,health,health,health,health,health,
sports,,,,,,,
sports,sports,,,,,,
tech,tech,,,,,,
tech,,,,,,,
frontpage,,,,,,,
business,business,,,,,,
sports,sports,sports,,,,,
frontpage,bbs,bbs,frontpage,,,,
frontpage,,,,,,,
bbs,frontpage,bbs,bbs,frontpage,bbs,bbs,bbs
frontpage,frontpage,,,,,,
frontpage,mich,mich,frontpage,,,,
news,news,,,,,,
news,,,,,,,
tech,tech,tech,,,,,
frontpage,living,living,,,,,
news,news,,,,,,
news,news,news,news,news,news,news,news
business,,,,,,,
frontpage,frontpage,frontpage,frontpage,,,,
frontpage,tech,tech,,,,,
news,,,,,,,
frontpage,on_air,on_air,news,on_air,on_air,on_air,on_air
tech,,,,,,,
frontpage,,,,,,,
local,mich,mich,local,local,local,mich,local
on_air,on_air,on_air,,,,,
bbs,bbs,,,,,,
weather,weather,,,,,,
business,news,news,news,news,frontpage,mich,mich
frontpage,frontpage,frontpage,frontpage,living,frontpage,living,frontpage
sports,sports,sports,sports,,,,
news,,,,,,,
news,frontpage,frontpage,,,,,
frontpage,,,,,,,
frontpage,frontpage,frontpage,,,,,
news,news,news,news,,,,
frontpage,on_air,on_air,living,business,on_air,sports,on_air
frontpage,,,,,,,
on_air,on_air,on_air,on_air,,,,
on_air,,,,,,,
sports,frontpage,local,local,,,,
frontpage,,,,,,,
bbs,bbs,,,,,,
news,tech,,,,,,
bbs,bbs,bbs,,,,,
frontpage,tech,tech,,,,,
news,news,,,,,,
news,,,,,,,
frontpage,frontpage,frontpage,bbs,bbs,bbs,bbs,bbs
frontpage,frontpage,,,,,,
tech,,,,,,,
news,,,,,,,
tech,,,,,,,
tech,,,,,,,
news,news,,,,,,
weather,weather,weather,weather,weather,weather,weather,weather
frontpage,bbs,bbs,bbs,frontpage,bbs,bbs,bbs
frontpage,tech,tech,tech,frontpage,frontpage,,
on_air,,,,,,,
weather,news,news,news,news,weather,news,news
frontpage,,,,,,,
opinion,,,,,,,
on_air,on_air,on_air,living,living,living,living,
news,,,,,,,
sports,,,,,,,
sports,sports,sports,sports,sports,,,
frontpage,bbs,bbs,,,,,
frontpage,,,,,,,
frontpage,frontpage,,,,,,
bbs,frontpage,news,msn,mich,mich,frontpage,business
frontpage,frontpage,frontpage,frontpage,frontpage,frontpage,,
tech,,,,,,,
sports,,,,,,,
frontpage,tech,tech,tech,tech,tech,tech,tech
weather,,,,,,,
frontpage,on_air,frontpage,frontpage,,,,
news,news,news,news,,,,
news,,,,,,,
travel,,,,,,,
on_air,living,living,,,,,
tech,,,,,,,
frontpage,on_air,,,,,,
news,,,,,,,
sports,bbs,bbs,,,,,
frontpage,,,,,,,
frontpage,,,,,,,
frontpage,on_air,frontpage,,,,,
sports,sports,on_air,,,,,
tech,,,,,,,
sports,,,,,,,
frontpage,,,,,,,
news,news,sports,tech,local,on_air,on_air,news
frontpage,,,,,,,
living,,,,,,,
tech,,,,,,,
frontpage,,,,,,,
news,,,,,,,
sports,news,sports,,,,,
frontpage,,,,,,,
news,,,,,,,
travel,,,,,,,
frontpage,frontpage,frontpage,sports,frontpage,frontpage,,
tech,,,,,,,
frontpage,news,news,news,news,news,news,news
on_air,,,,,,,
living,,,,,,,
on_air,on_air,on_air,on_air,on_air,on_air,on_air,on_air
tech,,,,,,,
sports,sports,sports,sports,sports,sports,sports,sports
frontpage,mich,news,local,mich,mich,local,local
local,news,,,,,,
on_air,mich,mich,mich,mich,mich,mich,mich
summary,,,,,,,
on_air,,,,,,,
frontpage,,,,,,,
on_air,,,,,,,
frontpage,living,,,,,,
on_air,mich,mich,mich,on_air,mich,on_air,on_air
bbs,,,,,,,
local,local,,,,,,
sports,,,,,,,
news,news,news,news,news,mich,local,health
on_air,,,,,,,
frontpage,frontpage,frontpage,frontpage,sports,frontpage,frontpage,
health,,,,,,,
frontpage,frontpage,frontpage,frontpage,frontpage,frontpage,,
weather,weather,weather,weather,weather,weather,weather,news
local,local,local,local,local,local,local,local
summary,,,,,,,
sports,sports,sports,sports,mich,local,sports,sports
health,weather,weather,local,health,weather,weather,mich
on_air,,,,,,,
health,local,,,,,,
tech,tech,news,weather,weather,weather,on_air,on_air
frontpage,frontpage,frontpage,frontpage,frontpage,frontpage,frontpage,frontpage
tech,,,,,,,
news,,,,,,,
health,summary,summary,,,,,
tech,,,,,,,
on_air,business,health,local,local,local,,
frontpage,on_air,frontpage,news,news,news,local,local
on_air,,,,,,,
sports,,,,,,,
frontpage,,,,,,,
weather,weather,weather,weather,,,,
sports,sports,sports,sports,sports,,,
on_air,,,,,,,
sports,,,,,,,
summary,,,,,,,
frontpage,on_air,on_air,on_air,on_air,on_air,frontpage,
bbs,tech,tech,,,,,
sports,sports,sports,sports,sports,sports,sports,living
on_air,weather,weather,weather,weather,bbs,bbs,bbs
frontpage,frontpage,news,news,weather,news,weather,frontpage
frontpage,frontpage,business,business,,,,
summary,,,,,,,
news,news,local,news,news,news,news,news
frontpage,local,,,,,,
frontpage,on_air,frontpage,on_air,on_air,on_air,news,on_air
weather,weather,sports,,,,,
health,health,health,,,,,
frontpage,frontpage,frontpage,,,,,
bbs,bbs,bbs,,,,,
bbs,,,,,,,
summary,summary,,,,,,
news,news,news,,,,,
on_air,on_air,on_air,on_air,,,,
frontpage,weather,news,news,news,news,news,news
bbs,tech,sports,,,,,
on_air,,,,,,,
local,local,local,tech,tech,tech,,
weather,,,,,,,
local,mich,,,,,,
on_air,on_air,on_air,mich,mich,mich,on_air,mich
local,,,,,,,
on_air,,,,,,,
on_air,on_air,tech,bbs,,,,
local,msn,,,,,,
tech,frontpage,frontpage,,,,,
local,,,,,,,
summary,,,,,,,
local,local,local,local,local,mich,local,local
sports,,,,,,,
frontpage,,,,,,,
frontpage,frontpage,,,,,,
weather,weather,,,,,,
on_air,travel,mich,mich,mich,on_air,on_air,travel
tech,tech,bbs,,,,,
weather,weather,weather,weather,weather,weather,,
frontpage,mich,mich,frontpage,,,,
frontpage,business,tech,frontpage,,,,
weather,local,local,local,,,,
frontpage,sports,sports,frontpage,sports,frontpage,sports,sports
frontpage,sports,on_air,travel,,,,
on_air,on_air,,,,,,
frontpage,business,news,news,news,frontpage,on_air,on_air
weather,weather,weather,weather,,,,
on_air,,,,,,,
tech,,,,,,,
health,mich,mich,frontpage,travel,travel,health,health
frontpage,msn,business,frontpage,,,,
frontpage,tech,bbs,tech,tech,local,tech,sports
on_air,,,,,,,
news,msn,business,,,,,
bbs,bbs,bbs,bbs,bbs,bbs,bbs,bbs
sports,sports,tech,tech,tech,tech,,
tech,local,health,local,local,,,
on_air,bbs,bbs,,,,,
on_air,,,,,,,
weather,weather,weather,weather,weather,,,
weather,weather,weather,weather,weather,,,
on_air,,,,,,,
weather,,,,,,,
tech,,,,,,,
on_air,travel,,,,,,
on_air,,,,,,,
sports,sports,local,,,,,
tech,,,,,,,
health,weather,weather,weather,weather,weather,weather,
local,,,,,,,
on_air,,,,,,,
local,local,,,,,,
weather,weather,weather,weather,weather,weather,weather,weather
health,mich,mich,frontpage,mich,local,local,mich
frontpage,frontpage,,,,,,
summary,,,,,,,
business,,,,,,,
frontpage,frontpage,local,frontpage,news,frontpage,frontpage,tech
tech,,,,,,,
health,health,health,health,news,news,health,
summary,,,,,,,
health,health,local,local,local,on_air,,
local,,,,,,,
local,local,,,,,,
tech,,,,,,,
health,health,health,local,local,local,local,
business,business,,,,,,
on_air,summary,,,,,,
frontpage,frontpage,,,,,,
sports,,,,,,,
business,,,,,,,
on_air,,,,,,,
health,frontpage,on_air,on_air,mich,local,on_air,on_air
weather,weather,weather,weather,weather,,,
news,,,,,,,
tech,,,,,,,
bbs,,,,,,,
frontpage,news,news,local,,,,
on_air,,,,,,,
sports,,,,,,,
news,,,,,,,
frontpage,frontpage,frontpage,frontpage,business,business,frontpage,frontpage
frontpage,frontpage,,,,,,
news,on_air,on_air,local,opinion,opinion,on_air,opinion
summary,summary,bbs,summary,summary,summary,summary,summary
frontpage,frontpage,on_air,,,,,
news,news,news,news,news,news,,
frontpage,frontpage,frontpage,,,,,
frontpage,,,,,,,
frontpage,frontpage,,,,,,
tech,,,,,,,
sports,sports,sports,sports,,,,
sports,sports,sports,sports,sports,sports,,
frontpage,news,news,on_air,on_air,news,news,
frontpage,frontpage,frontpage,frontpage,frontpage,frontpage,frontpage,frontpage
local,sports,sports,travel,travel,bbs,bbs,
mich,mich,mich,on_air,mich,on_air,,
health,health,,,,,,
frontpage,frontpage,frontpage,,,,,
sports,on_air,,,,,,
tech,,,,,,,
frontpage,,,,,,,
tech,tech,tech,tech,frontpage,frontpage,,
frontpage,frontpage,,,,,,
news,,,,,,,
on_air,health,health,,,,,
business,frontpage,frontpage,business,frontpage,business,business,business
sports,news,frontpage,news,news,news,on_air,
frontpage,on_air,on_air,frontpage,,,,
news,news,living,living,living,living,,
news,news,news,tech,living,living,tech,tech
frontpage,frontpage,news,frontpage,living,living,frontpage,
frontpage,frontpage,frontpage,,,,,
sports,sports,,,,,,
frontpage,,,,,,,
news,,,,,,,
frontpage,frontpage,news,news,frontpage,business,opinion,opinion
news,living,tech,,,,,
bbs,bbs,bbs,bbs,bbs,,,
frontpage,,,,,,,
bbs,bbs,bbs,bbs,bbs,,,
frontpage,,,,,,,
frontpage,news,news,living,,,,
weather,weather,weather,weather,summary,,,
frontpage,frontpage,frontpage,msn,frontpage,,,
on_air,,,,,,,
business,,,,,,,
on_air,,,,,,,
tech,,,,,,,
local,,,,,,,
local,,,,,,,
local,frontpage,,,,,,
frontpage,bbs,bbs,bbs,bbs,bbs,,
bbs,bbs,,,,,,
on_air,,,,,,,
sports,health,weather,,,,,
on_air,,,,,,,
summary,sports,sports,sports,sports,sports,sports,sports
on_air,,,,,,,
sports,sports,sports,sports,sports,sports,,
on_air,,,,,,,
health,health,health,,,,,
sports,local,,,,,,
weather,,,,,,,
on_air,on_air,bbs,bbs,,,,
sports,,,,,,,
summary,summary,summary,summary,,,,
news,travel,living,travel,on_air,on_air,travel,living
on_air,,,,,,,
on_air,,,,,,,
bbs,,,,,,,
news,,,,,,,
frontpage,tech,,,,,,
travel,travel,travel,travel,travel,travel,travel,travel
summary,,,,,,,
on_air,bbs,bbs,,,,,
tech,bbs,bbs,,,,,
frontpage,frontpage,local,local,,,,
sports,mich,mich,mich,news,sports,sports,sports
weather,weather,weather,weather,weather,weather,weather,weather
frontpage,,,,,,,
living,bbs,,,,,,
on_air,,,,,,,
on_air,travel,,,,,,
frontpage,on_air,frontpage,frontpage,frontpage,frontpage,frontpage,frontpage
frontpage,local,local,local,,,,
on_air,,,,,,,
frontpage,frontpage,bbs,bbs,bbs,bbs,bbs,bbs
weather,weather,weather,summary,summary,,,
health,local,health,opinion,opinion,opinion,opinion,opinion
news,living,living,living,living,living,living,living
bbs,bbs,,,,,,
on_air,,,,,,,
sports,sports,sports,,,,,
weather,weather,weather,weather,weather,weather,,
local,,,,,,,
on_air,weather,,,,,,
health,,,,,,,
summary,mich,summary,summary,,,,
business,tech,tech,,,,,
frontpage,on_air,,,,,,
weather,,,,,,,
tech,tech,,,,,,
on_air,local,local,,,,,
health,frontpage,on_air,on_air,on_air,on_air,,
frontpage,frontpage,weather,local,news,frontpage,frontpage,local
local,local,local,mich,local,local,on_air,
weather,on_air,,,,,,
tech,,,,,,,
business,local,,,,,,
on_air,summary,,,,,,
weather,,,,,,,
sports,,,,,,,
on_air,,,,,,,
local,health,,,,,,
weather,weather,,,,,,
on_air,,,,,,,
health,mich,health,,,,,
frontpage,news,bbs,bbs,local,,,
news,,,,,,,
weather,weather,,,,,,
on_air,,,,,,,
weather,,,,,,,
news,,,,,,,
frontpage,weather,weather,weather,weather,weather,,
tech,,,,,,,
weather,,,,,,,
on_air,,,,,,,
frontpage,,,,,,,
opinion,opinion,opinion,opinion,tech,bbs,,
frontpage,frontpage,frontpage,,,,,
sports,opinion,opinion,health,news,health,news,news
bbs,,,,,,,
frontpage,,,,,,,
on_air,,,,,,,
bbs,,,,,,,
weather,weather,weather,weather,on_air,weather,tech,weather
news,tech,,,,,,
summary,summary,,,,,,
living,,,,,,,
health,,,,,,,
local,,,,,,,
sports,,,,,,,
frontpage,frontpage,on_air,tech,frontpage,frontpage,frontpage,tech
sports,sports,bbs,bbs,,,,
local,local,local,,,,,
frontpage,living,news,frontpage,,,,
weather,weather,weather,weather,weather,weather,tech,tech
summary,,,,,,,
on_air,on_air,travel,,,,,
frontpage,news,,,,,,
frontpage,frontpage,sports,,,,,
frontpage,frontpage,frontpage,frontpage,frontpage,frontpage,frontpage,msn
local,,,,,,,
weather,,,,,,,
frontpage,on_air,on_air,mich,mich,mich,mich,mich
bbs,travel,bbs,bbs,bbs,bbs,,
bbs,frontpage,bbs,bbs,bbs,bbs,,
frontpage,frontpage,sports,,,,,
health,,,,,,,
on_air,on_air,on_air,on_air,,,,
local,local,,,,,,
local,frontpage,local,,,,,
on_air,,,,,,,
frontpage,frontpage,,,,,,
on_air,mich,mich,mich,on_air,,,
frontpage,on_air,on_air,on_air,,,,
tech,,,,,,,
summary,summary,,,,,,
sports,frontpage,,,,,,
health,,,,,,,
frontpage,,,,,,,
news,news,,,,,,
weather,weather,weather,,,,,
frontpage,,,,,,,
news,tech,,,,,,
frontpage,mich,mich,frontpage,frontpage,frontpage,frontpage,frontpage
frontpage,business,frontpage,,,,,
frontpage,,,,,,,
frontpage,news,frontpage,,,,,
tech,,,,,,,
tech,local,sports,,,,,
on_air,,,,,,,
sports,sports,sports,bbs,,,,
tech,health,tech,tech,,,,
frontpage,tech,,,,,,
news,news,news,news,,,,
weather,weather,weather,weather,weather,weather,weather,weather
summary,summary,,,,,,
local,local,mich,mich,mich,local,,
bbs,,,,,,,
health,health,health,health,,,,
frontpage,frontpage,on_air,on_air,on_air,on_air,on_air,on_air
health,local,health,local,on_air,news,news,on_air
local,mich,,,,,,
news,,,,,,,
on_air,,,,,,,
tech,,,,,,,
news,sports,sports,sports,,,,
frontpage,,,,,,,
tech,,,,,,,
frontpage,frontpage,mich,mich,frontpage,msn,frontpage,business
on_air,,,,,,,
summary,,,,,,,
tech,weather,weather,news,,,,
summary,,,,,,,
tech,,,,,,,
weather,,,,,,,
local,,,,,,,
on_air,opinion,opinion,opinion,,,,
health,,,,,,,
news,news,business,business,,,,
mich,local,mich,local,mich,local,local,local
frontpage,,,,,,,
frontpage,,,,,,,
living,living,,,,,,
frontpage,news,tech,tech,sports,tech,frontpage,tech
local,living,sports,,,,,
frontpage,,,,,,,
tech,tech,tech,,,,,
on_air,,,,,,,
living,living,,,,,,
news,,,,,,,
frontpage,on_air,on_air,living,,,,
frontpage,living,,,,,,
opinion,opinion,opinion,opinion,opinion,,,
frontpage,,,,,,,
on_air,,,,,,,
on_air,local,,,,,,
tech,,,,,,,
weather,weather,bbs,bbs,bbs,bbs,,
on_air,on_air,,,,,,
on_air,,,,,,,
on_air,,,,,,,
health,health,health,news,news,health,,
on_air,on_air,on_air,on_air,on_air,,,
on_air,,,,,,,
frontpage,frontpage,msn,frontpage,news,frontpage,mich,local
health,,,,,,,
on_air,,,,,,,
health,health,health,health,health,,,
business,frontpage,frontpage,bbs,business,opinion,on_air,mich
local,,,,,,,
on_air,local,local,local,local,local,,
on_air,on_air,local,local,local,local,local,local
sports,on_air,,,,,,
on_air,local,,,,,,
frontpage,frontpage,sports,frontpage,business,news,tech,frontpage
frontpage,business,frontpage,business,,,,
weather,on_air,,,,,,
health,tech,health,,,,,
on_air,mich,mich,on_air,mich,,,
summary,summary,summary,summary,bbs,bbs,bbs,
weather,weather,,,,,,
summary,summary,local,local,local,,,
health,health,,,,,,
frontpage,living,news,news,news,local,local,local
bbs,,,,,,,
mich,,,,,,,
frontpage,local,local,local,,,,
summary,,,,,,,
frontpage,,,,,,,
health,tech,,,,,,
news,tech,,,,,,
bbs,bbs,bbs,bbs,bbs,bbs,bbs,bbs
frontpage,tech,,,,,,
health,mich,health,health,local,,,
frontpage,frontpage,,,,,,
frontpage,bbs,bbs,bbs,frontpage,sports,sports,sports
weather,weather,,,,,,
news,,,,,,,
on_air,living,living,living,living,living,living,
weather,weather,weather,weather,weather,,,
frontpage,weather,weather,weather,weather,weather,weather,weather
health,health,sports,health,,,,
business,business,living,,,,,
weather,weather,,,,,,
on_air,on_air,,,,,,
on_air,on_air,on_air,on_air,on_air,on_air,,
weather,weather,weather,weather,weather,weather,,
on_air,,,,,,,
summary,,,,,,,
on_air,,,,,,,
on_air,,,,,,,
on_air,,,,,,,
summary,summary,summary,summary,summary,,,
sports,,,,,,,
on_air,,,,,,,
health,health,health,summary,summary,,,
frontpage,,,,,,,
bbs,tech,,,,,,
frontpage,on_air,on_air,frontpage,frontpage,,,
frontpage,frontpage,frontpage,sports,sports,sports,sports,sports
frontpage,msn,bbs,msn,frontpage,frontpage,,
on_air,,,,,,,
on_air,,,,,,,
sports,,,,,,,
weather,weather,weather,weather,weather,weather,weather,weather
frontpage,local,local,,,,,
on_air,,,,,,,
on_air,weather,weather,,,,,
health,,,,,,,
summary,summary,,,,,,
tech,tech,health,health,,,,
tech,,,,,,,
tech,tech,,,,,,
frontpage,frontpage,frontpage,frontpage,frontpage,frontpage,frontpage,frontpage
summary,summary,,,,,,
health,health,health,health,,,,
weather,weather,weather,weather,weather,weather,weather,weather
on_air,,,,,,,
on_air,on_air,health,,,,,
on_air,,,,,,,
on_air,,,,,,,
weather,weather,weather,,,,,
health,health,tech,,,,,
local,local,local,local,health,health,,
weather,weather,weather,weather,weather,,,
health,health,health,health,,,,
weather,weather,local,local,,,,
weather,weather,,,,,,
frontpage,frontpage,frontpage,frontpage,,,,
on_air,,,,,,,
weather,weather,weather,weather,weather,weather,weather,weather
health,summary,local,,,,,
bbs,summary,summary,summary,summary,summary,summary,bbs
weather,weather,weather,weather,,,,
on_air,,,,,,,
on_air,on_air,,,,,,
frontpage,frontpage,frontpage,tech,,,,
frontpage,,,,,,,
on_air,bbs,bbs,bbs,bbs,bbs,bbs,bbs
summary,summary,,,,,,
weather,weather,weather,,,,,
tech,,,,,,,
frontpage,frontpage,,,,,,
frontpage,frontpage,frontpage,,,,,
on_air,,,,,,,
news,,,,,,,
news,tech,tech,tech,,,,
frontpage,local,mich,mich,frontpage,news,on_air,
health,sports,,,,,,
frontpage,on_air,on_air,on_air,on_air,on_air,on_air,on_air
on_air,,,,,,,
health,frontpage,frontpage,news,frontpage,news,news,news
frontpage,living,frontpage,frontpage,frontpage,frontpage,frontpage,frontpage
frontpage,frontpage,frontpage,sports,,,,
frontpage,frontpage,frontpage,,,,,
frontpage,bbs,frontpage,frontpage,frontpage,frontpage,frontpage,frontpage
local,,,,,,,
news,,,,,,,
local,business,bbs,,,,,
health,,,,,,,
summary,summary,summary,summary,summary,bbs,frontpage,frontpage
on_air,,,,,,,
on_air,,,,,,,
health,health,health,health,business,summary,mich,mich
frontpage,frontpage,frontpage,frontpage,news,news,frontpage,frontpage
local,local,local,local,local,local,local,local
news,news,news,news,,,,
frontpage,weather,,,,,,
frontpage,,,,,,,
bbs,,,,,,,
frontpage,,,,,,,
frontpage,,,,,,,
frontpage,sports,,,,,,
weather,,,,,,,
frontpage,business,frontpage,frontpage,sports,frontpage,sports,sports
frontpage,msn,frontpage,frontpage,frontpage,frontpage,frontpage,frontpage
news,,,,,,,
frontpage,news,news,news,news,news,news,
weather,weather,weather,weather,weather,weather,weather,
frontpage,frontpage,sports,frontpage,frontpage,,,
